     n    repetitions     time
     0     18862234    0.000000
    10      6697743    0.000000
    20      2171751    0.000000
    30      1087981    0.000001
    40       620281    0.000002
    50       353725    0.000003
    60       390604    0.000003
    70       251906    0.000004
    80       242967    0.000004
    90       144879    0.000007
   100       125289    0.000008
   200        36011    0.000028
   300        17191    0.000058
   400         9636    0.000104
   500         6231    0.000160
   600         4457    0.000224
   700         3256    0.000307
   800         2621    0.000382
   900         2081    0.000481
  1000         1691    0.000591
