  n size    역정렬      순정렬        랜덤
     0    0.000000    0.000000    0.000000
    10    0.000000    0.000000    0.000001
    20    0.000000    0.000000    0.000002
    30    0.000001    0.000001    0.000003
    40    0.000002    0.000002    0.000004
    50    0.000003    0.000003    0.000005
    60    0.000003    0.000003    0.000006
    70    0.000004    0.000005    0.000008
    80    0.000006    0.000006    0.000009
    90    0.000007    0.000007    0.000011
   100    0.000008    0.000008    0.000013
   200    0.000028    0.000029    0.000035
   300    0.000060    0.000063    0.000067
   400    0.000105    0.000104    0.000109
   500    0.000162    0.000160    0.000158
   600    0.000221    0.000237    0.000216
   700    0.000279    0.000229    0.000273
   800    0.000369    0.000327    0.000360
   900    0.000490    0.000520    0.000442
  1000    0.000604    0.000638    0.000529
